X,Y,Color
-128.0,168.0,"(1.0, 1.0, 0.4, 1.0)"
-128.0,172.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,-172.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,40.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,60.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,72.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,80.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,84.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,92.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,96.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,108.0,"(0.6, 0.8, 1.0, 1.0)"
-124.0,112.0,"(1.0, 1.0, 0.4, 1.0)"
-124.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,120.0,"(0.0, 0.2, 0.4, 1.0)"
-124.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,136.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-124.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-124.0,164.0,"(0.0, 0.4, 0.8, 1.0)"
-124.0,168.0,"(0.4, 0.8, 0.0, 1.0)"
-124.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,8.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,20.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,28.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,48.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,52.0,"(0.0, 0.4, 0.8, 1.0)"
-120.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,96.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-120.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,108.0,"(0.0, 0.4, 0.8, 1.0)"
-120.0,112.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,116.0,"(1.0, 1.0, 0.4, 1.0)"
-120.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-120.0,124.0,"(0.0, 0.4, 0.8, 1.0)"
-120.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,132.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-120.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-120.0,160.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-120.0,164.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,168.0,"(0.0, 0.2, 0.4, 1.0)"
-120.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-120.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,24.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,96.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-116.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-116.0,108.0,"(0.0, 0.4, 0.8, 1.0)"
-116.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,116.0,"(0.4, 0.8, 0.0, 1.0)"
-116.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-116.0,124.0,"(0.4, 0.8, 0.0, 1.0)"
-116.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-116.0,164.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,168.0,"(0.0, 0.2, 0.4, 1.0)"
-116.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-116.0,176.0,"(0.0, 0.4, 0.8, 1.0)"
-112.0,-28.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,12.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-112.0,96.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-112.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-112.0,108.0,"(0.0, 0.6, 0.0, 1.0)"
-112.0,112.0,"(0.4, 0.8, 0.0, 1.0)"
-112.0,116.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-112.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,128.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-112.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-112.0,156.0,"(1.0, 1.0, 0.4, 1.0)"
-112.0,160.0,"(0.0, 0.6, 0.0, 1.0)"
-112.0,164.0,"(0.0, 0.6, 0.0, 1.0)"
-112.0,168.0,"(0.0, 0.2, 0.4, 1.0)"
-112.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,48.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,80.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,96.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,100.0,"(1.0, 1.0, 0.4, 1.0)"
-108.0,104.0,"(1.0, 1.0, 0.4, 1.0)"
-108.0,108.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,112.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,116.0,"(0.0, 0.6, 0.0, 1.0)"
-108.0,120.0,"(0.0, 0.2, 0.4, 1.0)"
-108.0,124.0,"(1.0, 1.0, 0.4, 1.0)"
-108.0,128.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,132.0,"(0.4, 0.8, 0.0, 1.0)"
-108.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-108.0,156.0,"(1.0, 0.0, 0.0, 1.0)"
-108.0,160.0,"(1.0, 1.0, 0.4, 1.0)"
-108.0,164.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,168.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-108.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,-180.0,"(0.0, 0.2, 0.4, 1.0)"
-104.0,-36.0,"(0.0, 0.4, 0.8, 1.0)"
-104.0,12.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,20.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,100.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,104.0,"(0.0, 0.6, 0.0, 1.0)"
-104.0,108.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,116.0,"(0.0, 0.4, 0.8, 1.0)"
-104.0,120.0,"(1.0, 0.0, 0.0, 1.0)"
-104.0,124.0,"(0.4, 0.8, 0.0, 1.0)"
-104.0,128.0,"(0.4, 0.8, 0.0, 1.0)"
-104.0,132.0,"(0.4, 0.8, 0.0, 1.0)"
-104.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-104.0,160.0,"(1.0, 1.0, 0.4, 1.0)"
-104.0,164.0,"(0.0, 0.4, 0.8, 1.0)"
-104.0,168.0,"(0.6, 0.8, 1.0, 1.0)"
-104.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-100.0,56.0,"(0.0, 0.4, 0.8, 1.0)"
-100.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-100.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
-100.0,92.0,"(0.0, 0.4, 0.8, 1.0)"
-100.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-100.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-100.0,108.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,112.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,120.0,"(0.0, 0.6, 0.0, 1.0)"
-100.0,124.0,"(1.0, 0.5019607843, 0.0, 1.0)"
